Log,Exercise Tag,Feeling Tag
i just did a one minute plank my arms are killing me,plank,"arms, killing"
i walked two miles i am tired and sore.,walked,"tired, sore"
i just did yoga for 30 minutes i feel so refreshed and energized now,yoga,"refreshed, energized"
i just went on a 2-mile hike. i am so tired now.,hike,tired
i went for a walk i feel fine,walk,fine
i tried to run i couldn't make it,run,couldn't make it
went for run intense,run,intense
i went hiking so tired,hiking,so tired
i took a one hour muscle pump class it was challenging!,muscle pump class,challenging
i took a spin class it was exhausting!,spin class,exhausting
i did a 30 minute hiit workout today. i felt tired and a little out of shape.,hiit workout,"tired, out of shape"
i did a 60 minute zumba class. i had a lot of fun but i was tired and sore by the end of the workout.,zumba class,"fun, tired, sore"
i went to a flow yoga class i felt at peace!,flow yoga class,at peace
i went to a spin class.  i felt so tired!,spin class,so tired
i walked for 15 blocks round trip i felt great first time i have done it.,walked,great
i went to the gym and did 20 minutes of cardio.  i was tired and pretty exhausted or i would have done more time.,cardio,exhausted
elliptical i felt bloated and tired,elliptical,"bloated, tired"
treadmill walk neck was killing me.,treadmill walk,killing me
"i just took a hot yoga class. it was challenging, but i feel more flexible already",hot yoga class,"challenging, flexible"
i just bench pressed my personal record i'm drained but feel proud,bench press,"drained, proud"
i just played basketball for 3 hours. my legs are burning i need to relax.,basketball,"legs are burning, need to relax"
i just ran 5 miles on the treadmill. my whole body feels like i could collapse right now!,ran,body feels like i could collapse
i just did a 3 hour spin class i am dead tired,spin class,dead tired
i just walked from here to the gym and back i am exhausted,walked,exhausted
i used a 20 pound barbell to squat 30 times. i was exhausted and tired and very sweaty.,squat,"exhausted, tired, sweaty"
i played one hour of ringfit adventure on nintendo switch with the workout ring running in place and performing arm exercises i was very engaged and challenged and had a lot of fun while sweating and breathing hard,running,"engaged, challenged, sweating, breathing hard"
i just did 20 push ups. i felt like i was going to die,push up,die
i just ran a mile my legs feel so light,ran,light
"i ran three miles for the first time in a month. i'm glad i did it, but am out of shape.",ran,"glad, out of shape"
i did a 30 minute bodyweight plyometric circuit. i enjoyed the feeling of getting stronger.,bodyweight plyometric circuit,"enjoyed, getting stronger"
i went running  i was tiered,running,tiered
i went dancing  i felt energized,dancing,energized
i did the dumbell bench press. i felt like moving up 5 on the 4th set.,dumbell bench press,moving up
i did the leg press. i felt like keeping my weight the same.,leg press,"keeping, same"
bench press on flat bench. very tired,bench press,tired
barbell squat exhausted,squat,exhausted
i took a yoga class at the gym today. i feel relaxed and more energised.,yoga class,"relaxed, energised"
i ran on the treadmill today for 30 minutes. i feel so tired and exhausted.,treadmill,"tired, exhausted"
i played golf for an hour today and walked the course.  it felt good getting out in the fresh air and i feel rejuvenated.,played golf,"good, rejuvenated"
"i walked 1 mile before work.  i felt tired, but it was a good tired.",walked,"tired, good"
