Log,Exercise Tag,Feeling Tag
"i ran a mile, i felt pretty good afterward. much more energetic.",ran,"good,  energetic"
i did weight lifting and felt much more exhausted but still strong,weight lifting,"exhausted, strong"
"i performed 45 weighted squats, and i felt pumped up.",squats,pumped up
i curled 50lbs and my arms were very sore.,curled,very sore
i cycled for one hour and my legs were in so much pain after!,cycled,pain
i played three tennis matches and my back hurts so much right now,tennis,hurts
i did 10 push ups and felt good,push ups,good
i walked for 1 mile and it felt good,walked,good
ran a mile and tired,ran,tired
biked a two miles and okay,biked,okay
i ran one mile and felt dead tired afterwords.,ran,dead tired
i took a light walk for half an hour and felt relaxed after it.,walk,relaxed
i used an elliptical machine for about two minutes on its maximum resistance setting and felt exhausted afterwards.,elliptical machine,exhausted
i did about thirty push-ups and felt tired afterwards.,push-ups,tired
"i spent the day working out on the exercise bike for the first time in about a year, and i woke up the net morning so sore on my legs and arms.",exercise bike,so sore
"i ran uphill with a friend and the next day, my heels and calfs were killing me from soreness",ran uphill,soreness
i lifted weights and felt strong!,weights,strong
i did 25 bicycle crunches and felt pained.,bicycle crunches,pained
i ran for 1 mile and felt energized afterwards,ran,energized
i did a max deadlift session and felt completely exhausted,deadlift,exhausted
i did a 30 minute hit workout from youtube. afterwards i felt energized,hit workout,energized
i did 10 chest press.  afterwards i felt weak and shaky,chest press,"weak, shaky"
in spite of doing breathing exercise there was difficulty in breathing,breathing exercise,difficulty in breathing
after doing aerobics for 30 minutes i was feeling fatigue,aerobics,fatigue
"i did 200 situps and my back became sore, so i felt bad",situps,bad
"i ran 3 miles and my legs were fine, but my lungs hurt",ran,hurt
i walked for 10 miles and i felt tired,walked,tired
i played golf for 4 hours and was energized,golf,energized
i jogged around my drive way and i felt tired after.,jogged,tired
i walked on a treadmil at the gym for an hour and i felt accomplished after.,walked,accomplished
i walked 2 miles and felt energized,walked,energized
i lifted weights and felt exhausted,lifted,exhausted
i stretched for 10 minutes and i feel like it helped,stretched,like it helped
i walked for 5 miles and i feel great.,walked,great
two miles in the new wheelchair.  i have aches in muscles i didn't know existed.,wheelchair,aches in muscles
twenty minutes of water exercise. feeling waterlogged and very tired.,water exercise,"waterlogged, very tired."
"i walked at a very brisk pace through the mall - from one end to the other which is reportedly a mile - twice.  i felt invigorated and really enjoyed it.  by the time i finished, i was tired and ready to go.",walked,"invigorated, tired"
"i went to curves circuit, where i'm a member.  i typically enjoy the curves circuit, but i was very annoyed by an employee.",curves circuit,annoyed
i did 30 minutes on the elliptical machine and i still felt like i could continue.,elliptical machine,continue
i did a one hour pilates class and felt energized but sore.,pilates class,"energized, sore"
i did 2 zumba classes and could not feel my legs afterwards,zumba classes,could not feel
i went for a hike and am totally exhausted,hike,exhausted
i play 2 hours of basketball and i felt tired,basketball,tired
i ply 1 hour of indoor soccer and i was exhausted,indoor soccer,exhausted
i jogged around the block and felt energized.,jogged,energized
i swam the length of the pool 10 times and felt satisfied.,swam,satisfied
doing cycling up to 10 km and i feel high rate of heart-beat.,cycling,high rate of heart-beat
second exercise is skipping and i feel good body maintaining after doing that.,skipping,body maintaining
i walked for three miles and felt invigorated.,walked,invigorated
i ran 5 times around the track and felt sore.,ran,sore
i lifted weights for 45 minutes and i feel sore.,lifted,sore
i ran the treadmill for 30 minutes and i feel exhausted,ran,exhausted
i rode on my bike for approximately 1 hour and felt so energetic afterwards.,bike,energetic
i lifted weights for 30 minutes and felt very lightheaded not too long afterwards.,weights,lightheaded
i took my dog for a walk and i felt refreshed.,walk,refreshed
i lifted some weights focusing on legs and felt amazing and energized after.,lifted,energized
i ran one mile in 10 minutes last night and was exhausted.,ran,exhausted
i deadlifted the other day and felt great.,deadlifted,great
i walked for five miles and felt tired.,walked,tired
i hiked up a hill and felt very strong!,hiked,very strong
i spent 90 minutes on the elliptical and felt energetic.,elliptical,energetic
i walked the dog for a mile and felt refreshed.,walked,refreshed
i walked for two hours and felt very tired afterwards,walked,tired
i went swimming for half an hour felt really good afterwards,swimming,good
i walked 5 miles and boy my legs are tired,walked,tired
i walked 3 miles and now feel more energized,walked,energized
run and felt so tired,run,tired
sit up and was exhausted,sit up,exhausted
i did a set of 20 push ups and felt good after.,push ups,good
i did a 30 crunches and felt warmed up.,crunches,warmed up
i went to my barbell class and felt so energized afterwards,barbell class,energized
i lifted a lot of weights and felt so sore the next 2 days.,lifted,sore
dumbbell curls and i felt great afterwards,dumbbell curls,great
followed a workout video on youtube and felt tired but refreshing afterwards like i had accomplished something,workout video,accomplished
i cycled 30 miles and felt energized and healthy,cycled,"energized, healthy"
i power walked 5 miles and felt so good that i wanted to go farther,walked,good
i ran 5 miles and was exhausted but i felt great.,ran,exhausted
i did arms in the gym and felt sore.,arms,sore
i ran five miles and i feel better energized,ran,energized
i take a weight lifting in gym. i feel body fitness,weight lifting,body fitness
i hiked for three hours and felt tired during and after.,hiked,tired
i did 15 minutes on the elliptical and feel pained.,elliptical,pained
i maxed out doing squats and felt like i couldn't stand on my own legs,maxed out,couldn't stand
